#Digilent WaveForms Oscilloscope Acquisition,,
#Device Name: Discovery2,,
#Serial Number: SN:210321A1A159,,
#Date Time: 2021-04-06 15:43:00.687,,
#Sample rate: 4000Hz,,
#Samples: 8000,,
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 200 mV Hyst.: Auto HoldOff: 0 s,,
#Channel 2: Range: 500 mV/div Offset: -1 V,,
#Math 1: Function: -1*C1,,
,,
Time (s),Channel 2 (V),Math 1 (V)
0.38275,1.031452267,3.119707929
0.383,1.031452267,3.112982741
0.38325,1.034810839,3.123070522
0.3835,1.034810839,3.13988349
0.38375,1.034810839,3.146608677
0.384,1.038169412,3.146608677
0.38425,1.041527984,3.153333864
0.3845,1.041527984,3.160059051
0.38475,1.041527984,3.200410173
0.385,1.038169412,3.27438723
0.38525,1.038169412,3.304650572
0.3855,1.038169412,3.314738353
0.38575,1.038169412,3.32146354
0.386,1.038169412,3.328188727
0.38625,1.038169412,3.338276507
0.3865,1.038169412,3.348364288
0.38675,1.038169412,3.355089475
0.387,1.038169412,3.361814662
0.38725,1.038169412,3.368539849
0.3875,1.038169412,3.37862763
0.38775,1.034810839,3.385352817
0.388,1.034810839,3.398803191
0.38825,1.034810839,3.408890971
0.3885,1.034810839,3.418978752
0.38875,1.034810839,3.435791719
0.389,1.034810839,3.4458795
0.38925,1.038169412,3.462692468
0.3895,1.038169412,3.469417655
0.38975,1.031452267,3.496318403
0.39,1.028093694,3.506406183
0.39025,1.028093694,3.496318403
0.3905,1.028093694,3.496318403
0.39075,1.028093694,3.489593216
0.391,1.028093694,3.479505435
0.39125,1.028093694,3.479505435
0.3915,1.028093694,3.482868029
0.39175,1.028093694,3.499680996
0.392,1.028093694,3.506406183
0.39225,1.024735122,3.509768777
0.3925,1.024735122,3.519856558
0.39275,1.021376549,3.536669525
0.393,1.018017977,3.573658054
0.39325,1.014659404,3.654360298
0.3935,1.011300831,3.68462364
0.39375,1.011300831,3.701436608
0.394,1.011300831,3.711524388
0.39425,1.011300831,3.721612169
0.3945,1.011300831,3.731699949
0.39475,1.011300831,3.748512917
0.395,1.007942259,3.761963291
0.39525,1.011300831,3.761963291
0.3955,1.011300831,3.775413665
0.39575,1.011300831,3.788864039
0.396,1.011300831,3.802314413
0.39625,1.011300831,3.822489974
0.3965,1.011300831,3.835940348
0.39675,1.011300831,3.852753316
0.397,1.007942259,3.869566284
0.39725,1.004583686,3.876291471
0.3975,1.011300831,3.876291471
0.39775,1.007942259,3.889741845
0.398,1.011300831,3.896467032
0.39825,1.021376549,3.896467032
0.3985,1.024735122,3.893104438
0.39875,1.028093694,3.899829625
0.399,1.028093694,3.893104438
0.39925,1.031452267,3.886379251
0.3995,1.031452267,3.876291471
0.39975,1.031452267,3.876291471
0.4,1.034810839,3.886379251
0.40025,1.034810839,3.899829625
0.4005,1.034810839,3.906554812
0.40075,1.041527984,3.909917406
0.401,1.041527984,3.920005186
0.40125,1.044886557,3.936818154
0.4015,1.041527984,3.997344837
0.40175,1.038169412,4.061234114
0.402,1.038169412,4.081409676
0.40225,1.038169412,4.098222643
0.4025,1.038169412,4.111673017
0.40275,1.038169412,4.125123391
0.403,1.038169412,4.138573765
0.40325,1.038169412,4.148661546
0.4035,1.038169412,4.16211192
0.40375,1.038169412,4.175562294
0.404,1.038169412,4.189012668
0.40425,1.038169412,4.205825636
0.4045,1.034810839,4.21927601
0.40475,1.034810839,4.232726384
0.405,1.034810839,4.242814165
0.40525,1.034810839,4.259627132
0.4055,1.034810839,4.273077506
0.40575,1.038169412,4.283165287
0.406,1.038169412,4.296615661
0.40625,1.034810839,4.316791222
0.4065,1.031452267,4.336966783
0.40675,1.031452267,4.34369197
0.407,1.031452267,4.34369197
0.40725,1.028093694,4.336966783
0.4075,1.028093694,4.330241596
0.40775,1.028093694,4.320153815
0.408,1.028093694,4.323516409
0.40825,1.028093694,4.336966783
0.4085,1.028093694,4.350417157
0.40875,1.028093694,4.360504938
0.409,1.024735122,4.377317905
0.40925,1.024735122,4.387405686
0.4095,1.021376549,4.407581247
0.40975,1.018017977,4.461382743
0.41,1.014659404,4.531997207
0.41025,1.014659404,4.552172768
0.4105,1.011300831,4.568985736
0.41075,1.011300831,4.579073517
0.411,1.011300831,4.592523891
0.41125,1.011300831,4.605974265
0.4115,1.011300831,4.619424639
0.41175,1.011300831,4.629512419
0.412,1.011300831,4.646325387
0.41225,1.011300831,4.656413168
0.4125,1.011300831,4.666500948
0.41275,1.011300831,4.679951322
0.413,1.011300831,4.700126883
0.41325,1.011300831,4.713577257
0.4135,1.011300831,4.730390225
0.41375,1.004583686,4.750565786
0.414,1.007942259,4.757290973
0.41425,1.007942259,4.76401616
0.4145,1.011300831,4.777466534
0.41475,1.018017977,4.777466534
0.415,1.021376549,4.777466534
0.41525,1.024735122,4.770741347
0.4155,1.028093694,4.760653567
0.41575,1.028093694,4.750565786
0.416,1.031452267,4.740478006
0.41625,1.031452267,4.737115412
0.4165,1.034810839,4.740478006
0.41675,1.031452267,4.75392838
0.417,1.034810839,4.767378754
0.41725,1.038169412,4.774103941
0.4175,1.041527984,4.777466534
0.41775,1.041527984,4.787554315
0.418,1.041527984,4.817817657
0.41825,1.038169412,4.885069527
0.4185,1.038169412,4.925420649
0.41875,1.038169412,4.93550843
0.419,1.038169412,4.952321397
0.41925,1.038169412,4.972496959
0.4195,1.038169412,4.996035113
0.41975,1.038169412,5.009485487
0.42,1.038169412,5.019573268
0.42025,1.038169412,5.029661048
0.4205,1.038169412,5.036386235
0.42075,1.038169412,5.053199203
0.421,1.038169412,5.063286984
0.42125,1.038169412,5.073374764
0.4215,1.034810839,5.073374764
0.42175,1.034810839,5.086825138
0.422,1.034810839,5.103638106
0.42225,1.034810839,5.120451073
0.4225,1.038169412,5.127176261
0.42275,1.038169412,5.137264041
